timestamps,TP9,AF7,AF8,TP10,Marker0
1594927525.060,-36.621,-11.719,-26.367,-38.086,0
1594927525.064,-45.898,-11.230,-25.879,-38.086,0
1594927525.068,-37.109,-15.137,-21.973,-32.227,0
1594927525.071,-32.715,-16.602,-17.578,-34.668,0
1594927525.075,-39.551,-14.160,-20.020,-40.527,0
1594927525.079,-35.645,-19.531,-23.926,-37.109,0
1594927525.083,-31.738,-21.484,-22.949,-41.504,0
1594927525.087,-31.738,-20.996,-29.297,-42.969,0
1594927525.100,-31.738,-25.391,-29.297,-37.109,0
1594927525.104,-37.598,-25.391,-28.320,-33.691,0
1594927525.108,-32.715,-15.625,-24.902,-27.344,0
1594927525.112,-32.227,-8.301,-24.414,-27.832,0
1594927525.116,-42.480,-13.184,-30.273,-29.297,0
1594927525.120,-33.691,-15.625,-29.785,-35.645,0
1594927525.124,-25.391,-18.066,-34.668,-37.109,0
1594927525.127,-30.273,-18.066,-37.598,-30.762,0
1594927525.131,-29.297,-15.137,-31.738,-35.645,0
1594927525.135,-20.996,-20.508,-38.086,-37.109,0
1594927525.139,-18.555,-21.484,-41.504,-32.715,0
1594927525.143,-20.508,-19.531,-34.180,-30.273,0
1594927525.138,-29.785,-20.508,-31.250,-31.250,0
1594927525.142,-40.039,-25.391,-29.297,-35.156,0
1594927525.146,-38.086,-26.367,-35.156,-45.898,0
1594927525.150,-37.598,-18.066,-38.086,-47.852,0
1594927525.154,-33.203,-18.066,-32.227,-39.551,0
1594927525.158,-35.156,-19.043,-38.086,-41.992,0
1594927525.162,-41.016,-17.578,-33.203,-44.922,0
1594927525.165,-33.203,-23.438,-30.273,-49.805,0
1594927525.169,-32.715,-28.320,-36.133,-43.457,0
1594927525.173,-38.086,-27.832,-39.062,-36.621,0
1594927525.177,-44.434,-22.461,-41.504,-37.109,0
1594927525.181,-40.527,-21.484,-43.945,-40.527,0
1594927525.194,-32.715,-22.949,-42.969,-44.922,0
1594927525.198,-41.992,-22.461,-45.410,-41.504,0
1594927525.202,-48.828,-20.020,-41.992,-37.109,0
1594927525.206,-41.992,-18.555,-35.645,-44.434,0
1594927525.210,-36.621,-13.672,-33.691,-39.551,0
1594927525.214,-30.762,-13.672,-31.250,-30.762,0
1594927525.218,-31.250,-15.137,-33.203,-30.762,0
1594927525.221,-30.762,-13.184,-33.203,-33.203,0
1594927525.225,-29.785,-18.555,-35.156,-38.574,0
1594927525.229,-27.832,-23.926,-35.156,-34.668,0
1594927525.233,-25.391,-15.137,-34.668,-38.574,0
1594927525.237,-29.785,-10.254,-32.715,-41.016,0
1594927525.232,-28.809,-14.648,-35.156,-31.738,0
1594927525.236,-38.086,-21.484,-37.109,-37.109,0
1594927525.240,-37.109,-18.066,-33.691,-38.086,0
1594927525.244,-30.762,-14.648,-30.273,-31.250,0
1594927525.248,-24.902,-13.184,-27.344,-34.668,0
1594927525.252,-22.949,-13.672,-28.320,-37.598,0
1594927525.256,-32.715,-16.113,-30.762,-36.621,0
1594927525.259,-37.598,-16.113,-32.227,-37.109,0
1594927525.263,-40.039,-20.020,-39.062,-34.668,0
1594927525.267,-37.598,-17.090,-41.504,-33.203,0
1594927525.271,-33.203,-7.812,-33.691,-41.992,0
1594927525.275,-34.180,-6.348,-30.762,-38.574,0
1594927525.288,-41.992,-10.254,-30.273,-36.133,0
1594927525.292,-42.480,-13.672,-28.320,-33.691,0
1594927525.296,-39.062,-10.254,-27.344,-31.738,0
1594927525.300,-46.387,-7.812,-31.738,-42.480,0
1594927525.304,-51.758,-13.672,-36.621,-44.434,0
1594927525.308,-50.293,-9.277,-35.645,-46.387,0
1594927525.312,-44.922,-2.930,-36.621,-48.340,0
1594927525.315,-44.922,-4.395,-38.086,-41.504,0
1594927525.319,-46.875,-6.348,-30.762,-41.992,0
1594927525.323,-41.016,-12.207,-30.762,-36.621,0
1594927525.327,-47.363,-13.672,-35.645,-32.227,0
1594927525.331,-49.805,-22.461,-36.133,-31.250,0
1594927525.325,-34.668,-24.414,-37.109,-39.062,0
1594927525.329,-29.785,-17.090,-38.086,-55.176,0
1594927525.333,-28.809,-7.812,-35.645,-46.875,0
1594927525.337,-27.344,-9.766,-34.668,-36.621,0
1594927525.341,-39.551,-17.578,-26.855,-37.109,0
1594927525.345,-43.945,-14.648,-28.320,-44.434,0
1594927525.349,-38.086,-10.254,-26.855,-45.898,0
1594927525.352,-42.969,-14.160,-22.461,-35.645,0
1594927525.356,-48.340,-19.531,-34.668,-41.016,0
1594927525.360,-44.434,-20.508,-38.086,-48.828,0
1594927525.364,-41.016,-18.066,-28.809,-52.246,0
1594927525.368,-36.621,-17.090,-35.645,-46.875,0
1594927525.382,-38.086,-19.043,-26.367,-43.945,0
1594927525.386,-41.016,-20.020,-15.625,-36.621,0
1594927525.390,-44.434,-10.254,-21.484,-35.645,0
1594927525.394,-45.410,-6.836,-22.461,-36.133,0
1594927525.398,-47.852,-6.836,-23.926,-37.109,0
1594927525.402,-49.805,-6.836,-27.344,-41.992,0
1594927525.406,-42.480,-11.230,-24.414,-36.621,0
1594927525.409,-38.086,-10.742,-20.020,-37.598,0
1594927525.413,-44.434,-13.184,-24.902,-44.922,0
1594927525.417,-46.387,-14.160,-28.320,-41.992,0
1594927525.421,-37.598,-10.742,-28.809,-39.062,0
1594927525.425,-28.809,-9.766,-33.203,-40.527,0
1594927525.420,-31.738,-4.883,-29.297,-38.086,0
1594927525.424,-38.086,-5.371,-25.879,-38.086,0
1594927525.428,-41.016,-10.254,-29.785,-39.062,0
1594927525.432,-37.598,-12.207,-32.715,-35.156,0
1594927525.436,-30.273,-9.277,-37.598,-32.227,0
1594927525.440,-28.809,-9.766,-36.621,-29.297,0
1594927525.444,-27.344,-14.160,-31.738,-30.273,0
1594927525.447,-27.344,-18.066,-28.809,-31.738,0
1594927525.451,-32.227,-18.066,-30.273,-24.902,0
1594927525.455,-32.715,-18.555,-28.809,-22.949,0
1594927525.459,-31.738,-17.090,-28.320,-30.273,0
1594927525.463,-34.180,-15.137,-29.785,-34.180,0
1594927525.475,-34.668,-16.113,-28.320,-31.738,0
1594927525.479,-36.621,-17.578,-28.809,-31.738,0
1594927525.483,-40.527,-16.113,-27.344,-36.621,0
1594927525.487,-44.434,-20.508,-23.438,-45.898,0
1594927525.491,-44.922,-19.043,-20.020,-41.016,0
1594927525.495,-50.293,-20.996,-21.484,-39.551,0
1594927525.499,-49.316,-25.879,-25.879,-42.969,0
1594927525.502,-44.434,-22.461,-22.949,-34.668,0
1594927525.506,-40.527,-20.508,-16.113,-36.621,0
1594927525.510,-41.992,-25.391,-18.066,-37.598,0
1594927525.514,-49.316,-22.461,-21.973,-37.598,0
1594927525.518,-56.152,-16.602,-20.508,-40.527,0
1594927525.513,-51.270,-18.066,-20.020,-41.016,0
1594927525.517,-45.898,-19.531,-22.461,-38.086,0
1594927525.521,-46.875,-19.531,-24.414,-39.062,0
1594927525.525,-46.875,-18.555,-30.762,-41.504,0
1594927525.529,-41.992,-17.090,-31.250,-35.156,0
1594927525.533,-43.945,-18.555,-24.902,-31.738,0
1594927525.537,-45.898,-17.578,-26.367,-40.039,0
1594927525.540,-44.434,-17.578,-30.762,-44.922,0
1594927525.544,-49.805,-15.625,-38.574,-39.062,0
1594927525.548,-40.039,-7.812,-38.086,-34.180,0
1594927525.552,-35.645,-1.953,-28.320,-36.133,0
1594927525.556,-38.574,-3.418,-23.926,-41.016,0
1594927525.569,-41.016,-7.812,-26.367,-44.922,0
1594927525.573,-31.738,-8.301,-30.273,-44.434,0
1594927525.577,-27.344,-5.859,-19.531,-32.227,0
1594927525.581,-37.598,-7.812,-17.090,-27.832,0
1594927525.585,-34.180,-4.883,-28.809,-31.250,0
1594927525.589,-36.621,-6.836,-28.320,-32.715,0
1594927525.593,-46.387,-15.625,-32.227,-37.598,0
1594927525.596,-46.875,-14.648,-28.320,-36.621,0
1594927525.600,-48.340,-16.113,-27.344,-34.668,0
1594927525.604,-50.781,-19.043,-32.227,-35.156,0
1594927525.608,-45.898,-17.578,-27.832,-40.527,0
1594927525.612,-47.363,-13.672,-29.785,-41.992,0
1594927525.607,-52.246,-13.672,-32.227,-34.668,0
1594927525.611,-46.387,-15.625,-28.809,-34.668,0
1594927525.615,-40.039,-17.090,-26.367,-37.109,0
1594927525.619,-35.645,-17.090,-25.391,-28.320,0
1594927525.623,-34.180,-11.230,-23.438,-32.227,0
1594927525.627,-36.621,-11.230,-26.855,-41.016,0
1594927525.631,-25.391,-13.672,-23.438,-41.016,0
1594927525.634,-28.320,-11.230,-23.438,-54.688,0
1594927525.638,-38.574,-14.160,-30.273,-56.152,0
1594927525.642,-36.133,-14.648,-28.809,-36.133,0
1594927525.646,-41.016,-11.719,-26.367,-35.645,0
1594927525.650,-40.527,-12.695,-26.367,-33.691,0
1594927525.663,-40.039,-11.719,-26.855,-27.832,0
1594927525.667,-40.527,-18.066,-26.855,-30.273,0
1594927525.671,-41.504,-26.855,-31.250,-27.832,0
1594927525.675,-44.434,-23.926,-26.855,-33.203,0
1594927525.679,-48.828,-20.508,-32.227,-42.480,0
1594927525.683,-43.457,-21.484,-32.227,-44.434,0
1594927525.687,-36.133,-20.996,-27.344,-38.574,0
1594927525.690,-36.133,-16.113,-22.949,-33.691,0
1594927525.694,-33.691,-9.277,-23.438,-32.715,0
1594927525.698,-34.180,-10.742,-26.855,-35.156,0
1594927525.702,-39.551,-14.160,-22.461,-37.598,0
1594927525.706,-33.203,-12.695,-25.391,-33.203,0
1594927525.700,-27.344,-9.766,-27.344,-25.879,0
1594927525.704,-30.273,-6.348,-27.832,-26.855,0
1594927525.708,-35.645,-8.789,-30.273,-30.273,0
1594927525.712,-35.156,-8.789,-31.738,-26.367,0
1594927525.716,-32.715,-6.836,-29.297,-28.809,0
1594927525.720,-36.133,-13.672,-35.645,-44.922,0
1594927525.724,-38.086,-13.184,-33.691,-44.922,0
1594927525.727,-36.133,-7.812,-21.973,-37.598,0
1594927525.731,-28.320,-17.090,-25.879,-36.133,0
1594927525.735,-33.203,-24.902,-28.809,-31.738,0
1594927525.739,-39.062,-26.855,-22.461,-35.645,0
1594927525.743,-41.016,-25.879,-23.926,-49.805,0
1594927525.757,-37.598,-15.137,-24.902,-49.316,0
1594927525.761,-32.715,-9.766,-29.297,-41.016,0
1594927525.765,-29.785,-10.254,-28.809,-39.551,0
1594927525.769,-24.414,-16.602,-27.344,-37.109,0
1594927525.773,-30.273,-22.949,-35.156,-33.691,0
1594927525.777,-35.156,-27.344,-36.621,-34.180,0
1594927525.781,-34.668,-26.855,-39.062,-33.691,0
1594927525.784,-35.156,-25.391,-36.621,-36.133,0
1594927525.788,-36.133,-26.855,-28.320,-39.062,2
1594927525.792,-31.250,-26.367,-28.320,-34.668,0
1594927525.796,-33.691,-20.508,-29.297,-37.598,0
1594927525.800,-41.504,-18.555,-29.297,-31.250,0
1594927525.794,-32.715,-18.555,-24.414,-26.855,0
1594927525.798,-29.785,-20.508,-28.809,-32.227,0
1594927525.802,-40.039,-20.020,-33.691,-32.227,0
1594927525.806,-44.434,-18.066,-31.738,-34.668,0
1594927525.810,-45.898,-17.090,-31.738,-37.109,0
1594927525.814,-41.992,-14.648,-29.785,-33.203,0
1594927525.818,-41.504,-16.602,-24.414,-34.668,0
1594927525.821,-39.551,-16.602,-28.320,-42.969,0
1594927525.825,-38.574,-16.602,-30.273,-43.457,0
1594927525.829,-41.504,-19.043,-26.855,-41.016,0
1594927525.833,-40.527,-14.160,-25.391,-38.086,0
1594927525.837,-40.039,-11.719,-26.855,-36.621,0
1594927525.850,-45.410,-15.137,-28.320,-36.621,0
1594927525.854,-41.504,-17.578,-32.715,-32.227,0
1594927525.858,-30.273,-16.602,-29.785,-26.855,0
1594927525.862,-38.086,-10.742,-22.461,-28.809,0
1594927525.866,-43.457,-13.184,-22.949,-29.785,0
1594927525.870,-38.574,-16.113,-18.066,-30.762,0
1594927525.874,-41.016,-11.230,-17.090,-34.668,0
1594927525.877,-45.410,-11.230,-17.578,-42.480,0
1594927525.881,-48.340,-8.301,-19.043,-46.387,0
1594927525.885,-49.805,-4.883,-20.020,-42.480,0
1594927525.889,-45.898,-6.836,-23.926,-44.434,0
1594927525.893,-45.898,-7.812,-26.367,-42.969,0
1594927525.888,-41.992,-2.441,-19.043,-41.016,0
1594927525.892,-32.715,-6.348,-18.555,-25.879,0
1594927525.896,-32.227,-10.742,-21.484,-14.160,0
1594927525.900,-39.551,-8.301,-20.996,-29.297,0
1594927525.904,-46.387,-10.254,-16.113,-44.434,0
1594927525.908,-42.969,-13.672,-17.090,-37.109,0
1594927525.912,-47.852,-13.184,-22.949,-32.227,0
1594927525.915,-55.664,-11.719,-24.902,-41.992,0
1594927525.919,-50.293,-12.207,-28.809,-34.668,0
1594927525.923,-57.617,-16.113,-32.715,-32.227,0
1594927525.927,-52.246,-13.184,-27.832,-37.109,0
1594927525.931,-35.156,-12.207,-29.297,-34.668,0
1594927525.945,-38.086,-14.648,-30.762,-32.227,0
1594927525.949,-42.969,-20.996,-34.180,-33.203,0
1594927525.953,-43.457,-22.949,-35.645,-28.320,0
1594927525.957,-40.527,-21.484,-27.832,-31.738,0
1594927525.961,-30.273,-26.855,-25.391,-33.203,0
1594927525.965,-31.250,-24.902,-28.809,-30.762,0
1594927525.969,-38.574,-22.461,-28.809,-29.785,0
1594927525.972,-32.227,-20.996,-20.020,-27.344,0
1594927525.976,-29.297,-20.020,-22.461,-33.691,0
1594927525.980,-38.086,-18.066,-27.344,-30.273,0
1594927525.984,-35.156,-18.555,-24.902,-30.762,0
1594927525.988,-29.785,-15.625,-23.926,-37.598,0
1594927525.982,-27.832,-12.207,-27.344,-36.621,0
1594927525.986,-27.832,-12.695,-26.855,-31.738,0
1594927525.990,-37.109,-16.113,-23.438,-27.832,0
1594927525.994,-31.738,-18.555,-27.344,-34.180,0
1594927525.998,-37.109,-19.043,-32.227,-34.668,0
1594927526.002,-41.992,-20.508,-30.273,-30.273,0
1594927526.006,-39.062,-13.672,-27.832,-31.250,0
1594927526.009,-39.062,-8.301,-20.996,-23.438,0
1594927526.013,-36.621,-12.207,-25.391,-27.832,0
1594927526.017,-29.297,-19.531,-28.320,-33.691,0
1594927526.021,-34.668,-28.320,-16.113,-36.621,0
1594927526.025,-43.945,-25.879,-19.043,-41.992,0
1594927526.038,-33.691,-22.461,-24.902,-38.086,0
1594927526.042,-27.832,-26.855,-21.484,-35.156,0
1594927526.046,-39.551,-25.879,-21.484,-39.551,0
1594927526.050,-44.434,-20.508,-24.414,-37.109,0
1594927526.054,-43.457,-24.414,-25.879,-26.367,0
1594927526.058,-40.039,-27.344,-23.438,-26.855,0
1594927526.062,-37.109,-28.809,-27.344,-37.598,0
1594927526.065,-37.109,-21.973,-29.297,-43.945,0
1594927526.069,-40.527,-10.742,-24.902,-44.434,0
1594927526.073,-47.852,-10.254,-25.879,-46.387,0
1594927526.077,-43.945,-12.695,-28.809,-51.758,0
1594927526.081,-36.133,-13.184,-34.668,-49.316,0
1594927526.075,-39.551,-14.648,-31.250,-40.527,0
1594927526.079,-39.551,-18.555,-29.297,-39.551,0
1594927526.083,-44.922,-16.602,-29.785,-47.363,0
1594927526.087,-51.758,-17.578,-29.297,-42.480,0
1594927526.091,-51.758,-22.461,-32.227,-34.180,0
1594927526.095,-48.828,-21.973,-28.809,-32.715,0
1594927526.099,-48.340,-18.066,-25.879,-36.621,0
1594927526.102,-46.875,-13.184,-21.484,-46.875,0
1594927526.106,-47.363,-14.648,-22.949,-43.945,0
1594927526.110,-44.922,-18.066,-26.855,-37.598,0
1594927526.114,-35.156,-19.531,-25.879,-39.062,0
1594927526.118,-33.691,-20.996,-28.320,-40.039,0
1594927526.132,-32.715,-19.043,-26.367,-42.480,0
1594927526.136,-27.344,-20.996,-21.484,-39.062,0
1594927526.140,-25.879,-19.531,-16.602,-35.645,0
